Naruto Uzumaki | Genin | Hidden Leaf Village | 5'11" | 17 years old | Uzumaki | Wind, Earth, Water, Fire, Lightning | Alive | Male
Karui | Chunin | Hidden Cloud Village | 5'6" | 17 years old | No Clan | Lightning | Alive | Female
Mabui | Jonin | Hidden Cloud Village | 5'7" | 26 years old | No Clan | Lightning | Alive | Female
Samui | Jonin | Hidden Cloud Village | 5'7" | 26 years old | No Clan | Lightning | Alive | Female
C | Jonin | Hidden Cloud Village | 5'8" | 40 years old | No Clan | Lightning | Alive | Male
Fū | Chunin | Hidden Waterfall Village | 5'2" | 16 years old | No Clan | Water | Alive | Female
Yugito Nii | Jinchuriki | Hidden Cloud Village | 5'7" | 27 years old | No Clan | Fire, Lightning | Deceased | Female
Han | Jinchuriki | Hidden Stone Village | 6'0" | 39 years old | No Clan | Earth | Deceased | Male
Rōshi | Jinchuriki | Hidden Stone Village | 6'1" | 45 years old | No Clan | Fire, Earth | Deceased | Male
Zabuza Momochi | Jonin | Hidden Mist Village | 6'0" | 26 years old | No Clan | Water | Deceased | Male
Haku | Chunin | Hidden Mist Village | 5'6" | 15 years old | No Clan | Water, Ice | Deceased | Male
Karin | Chunin | Hidden Grass Village | 5'6" | 17 years old | Uzumaki | Earth, Water | Alive | Female
Temari | Jonin | Hidden Sand Village | 5'7" | 17 years old | No Clan | Wind | Alive | Female
Kankurō | Jonin | Hidden Sand Village | 5'10" | 17 years old | No Clan | None | Alive | Male
Orochimaru | Sannin | Hidden Leaf Village | 5'10" | 54 years old | No Clan | Earth, Wind | Alive | Male
